"","Subject"
"1","ASH"
"2","ASL"
"3","ATE"
"4","ATT"
"5","BUS"
"6","DGU"
"7","DIK"
"8","DRA"
"9","DUM"
"10","DYE"
"11","EAG"
"12","EDG"
"13","EGG"
"14","ELA"
"15","ERG"
"16","FUL"
"17","GHE"
"18","HAS"
"19","HEX"
"20","HOO"
"21","IGO"
"22","KET"
"23","KHA"
"24","KRO"
"25","LES"
"26","MAY"
"27","MEA"
"28","MOB"
"29","MUM"
"30","MUS"
"31","NSF"
"32","NYA"
"33","ONE"
"34","ONI"
"35","OUP"
"36","OUZ"
"37","QUA"
"38","RAN"
"39","REL"
"40","RHI"
"41","SAU"
"42","SHO"
"43","SMA"
"44","TEQ"
"45","VOD"
"46","WHI"
"47","WOL"
"48","ZET"
